Grados,Amplitud(Mili-Volts),Not used
6,54,-103
7,47.2,-109.8
8,42.8,-114.2
9,42.1,-114.9
10,60.4,-96.6
11,54.8,-102.2
12,60.4,-96.6
13,57.3,-99.7
14,53,-104
15,49.4,-107.6
16,50.2,-106.8
17,54.3,-102.7
18,58.2,-98.8
20,56,-101
25,63.5,-93.5
30,71.4,-85.6
35,80.7,-76.3
40,94.5,-62.5
45,108,-49
50,131,-26
55,157,0
60,144,-13
65,246,89
70,321,164
75,355,198
80,490,333
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
